"id","nama_produk","brand_produk","harga_retail","link_gambar","harga_original","diskon"
1,"Puma Speedcat Ballet Lace Frosted Ivory Ruby Shimmer (Women’s)","Puma",1770000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MjI0NC9hNDY5Yjc0MmE2NTI4YjExZTdkNTMwYjE2OWFmMTZmMC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
2,"Nike P-6000 White Elemental Pink Metallic Silver (Women's)","Nike",1300000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEzNTcxNy8zZWQ5ZTViMGY3NjRhODVmOGY0NDVhNmJhYTQ4Njk5Yy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1729000.0,24.81
3,"Puma Speedcat Ballet Lace Ruby Shimmer Frosted Ivory (Women's)","Puma",1800000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MjI0My85ZWM2ODBhYmVkMzdmNDAwZTA5M2FjMGQ2MjQ1ZGVmZC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
4,"Puma Speedcat Ballet Black Mauve Mist (Women's)","Puma",1250000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyMzc0NS85MjViMDUyNWRlYzE2MjcxNGViN2Y0ZTBlMTE3NDhkNi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1320000.0,5.3
5,"Puma Speedcat Ballet Lace Silver (Women's)","Puma",1640000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MTY1MS9lOGQ0Y2FmMDViMjhjYjk3OTNlMGNhN2RiMjU0ZjJkMS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
6,"Puma Speedcat Ballet Silver (Women's)","Puma",1100000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEyMzc0Ny9lNmM0OThmNDEzZGZmMzFiMTE0MWEwZWM0NTRiZjAwYS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1299000.0,15.32
7,"Puma Speedcat Ballet Dark Chocolate (Women's)","Puma",1260000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0Mjk3My9jZjYxMGE4NWRjN2RiNTA5ZGI1YjU1YmMzOGNmOWJlZS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
8,"Puma Speedcat Ballet Lace Black (Women's)","Puma",1530000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MTY5Mi83NWRiM2RiOTA5MTg0NDA2ZmEzYWEzNGViMmJjNTEyNi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
9,"Adidas Samba Jane Preloved Brown (Women's)","Adidas",1810000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NTkwOS80MzZkMzY5YWU2ZjRkMjEwOWRhYWNkMmFhNjZlMzM4Mi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
10,"Nike Dunk Low Cacao Wow (Women's)","Nike",1100000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzYzMjgzL2MzYjZhODdkMzJjYzhlMzNlZWQ3NTMwMTI5ZjRmYWZiLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",1650000.0,33.33
